TABLE_NAME,GROUP_NAME,TOPIC_NAME,QUEUE_NAME,SUBJECT_AREA,CR_NAME_L1,CR_NAME_L2,CR_NAME_L3,CR_NAME_L4,CR_NAME_L5,CR_NAME_L6,CR_NAME_PROD,IGNORE_DELETES
BROKER_CONTACT,GROUP1,FDFR.CDC.DW,FDFR.CDC.DW.Q001.DW-ABI-BATCH-3530913,SEFS,d1dsnb.bc0_BROKER_CONTACT,d1dsnb.bc2_BROKER_CONTACT,d1dsnx.bc3_BROKER_CONTACT,d1dsnx.bc4_BROKER_CONTACT,d1dsnx.bc5_BROKER_CONTACT,d1dsnx.bc6_BROKER_CONTACT,d1dsn.bc_BROKER_CONTACT,NO
BROKER_CUST_XREF,GROUP1,FDFR.CDC.DW,FDFR.CDC.DW.Q001.DW-ABI-BATCH-3530913,SEFS,d1dsnb.bcx0_BROKER_CUST_XREF,d1dsnb.bcx2_BROKER_CUST_XREF,d1dsnx.bcx3_BROKER_CUST_XREF,d1dsnx.bcx4_BROKER_CUST_XREF,d1dsnx.bcx5_BROKER_CUST_XREF,d1dsnx.bcx6_BROKER_CUST_XREF,d1dsn.bcx_BROKER_CUST_XREF,NO
BROKER_NOTE,GROUP1,FDFR.CDC.DW,FDFR.CDC.DW.Q001.DW-ABI-BATCH-3530913,SEFS,d1dsnb.bn0_BROKER_NOTE,d1dsnb.bn2_BROKER_NOTE,d1dsnx.bn3_BROKER_NOTE,d1dsnx.bn4_BROKER_NOTE,d1dsnx.bn5_BROKER_NOTE,d1dsnx.bn6_BROKER_NOTE,d1dsn.bn_BROKER_NOTE,NO
BROKER_PROFILE,GROUP1,FDFR.CDC.DW,FDFR.CDC.DW.Q001.DW-ABI-BATCH-3530913,SEFS,d1dsnb.bp0_BROKER_PROFILE,d1dsnb.bp2_BROKER_PROFILE,d1dsnx.bp3_BROKER_PROFILE,d1dsnx.bp4_BROKER_PROFILE,d1dsnx.bp5_BROKER_PROFILE,d1dsnx.bp6_BROKER_PROFILE,d1dsn.bp_BROKER_PROFILE,NO
CUST_ADDR_GEO,GROUP1,FDFR.CDC.DW,FDFR.CDC.DW.Q001.DW-ABI-BATCH-3530913,CUST,d1dsnb.cag0_CUST_ADDR_GEO,d1dsnb.cag2_CUST_ADDR_GEO,d1dsnx.cag3_CUST_ADDR_GEO,d1dsnx.cag4_CUST_ADDR_GEO,d1dsnx.cag5_CUST_ADDR_GEO,d1dsnx.cag6_CUST_ADDR_GEO,d1dsn.cag_CUST_ADDR_GEO,NO
CUST_APPT_CMNT,GROUP1,FDFR.CDC.DW,FDFR.CDC.DW.Q001.DW-ABI-BATCH-3530913,APPT,d1dsnb.cac0_CUST_APPT_CMNT,d1dsnb.cac2_CUST_APPT_CMNT,d1dsnx.cac3_CUST_APPT_CMNT,d1dsnx.cac4_CUST_APPT_CMNT,d1dsnx.cac5_CUST_APPT_CMNT,d1dsnx.cac6_CUST_APPT_CMNT,d1dsn.cac_CUST_APPT_CMNT,NO
CUST_EXCP_CALENDAR,GROUP1,FDFR.CDC.DW,FDFR.CDC.DW.Q001.DW-ABI-BATCH-3530913,CUST,d1dsnb.cxcl0_CUST_EXCP_CALENDAR,d1dsnb.cxcl2_CUST_EXCP_CALENDAR,d1dsnx.cxcl3_CUST_EXCP_CALENDAR,d1dsnx.cxcl4_CUST_EXCP_CALENDAR,d1dsnx.cxcl5_CUST_EXCP_CALENDAR,d1dsnx.cxcl6_CUST_EXCP_CALENDAR,d1dsn.cxcl_CUST_EXCP_CALENDAR,NO
DRIVER_INSTRUCTION,GROUP1,FDFR.CDC.DW,FDFR.CDC.DW.Q001.DW-ABI-BATCH-3530913,LH_DSPCH,d1dsnb.dinst0_DRIVER_INSTRUCTION,d1dsnb.dinst2_DRIVER_INSTRUCTION,d1dsnx.dinst3_DRIVER_INSTRUCTION,d1dsnx.dinst4_DRIVER_INSTRUCTION,d1dsnx.dinst5_DRIVER_INSTRUCTION,d1dsnx.dinst6_DRIVER_INSTRUCTION,d1dsn.dinst_DRIVER_INSTRUCTION,NO
EDI_RNS_ERR,GROUP1,FDFR.CDC.DW,FDFR.CDC.DW.Q001.DW-ABI-BATCH-3530913,EDI,d1dsnb.ere0_EDI_RNS_ERR,d1dsnb.ere2_EDI_RNS_ERR,d1dsnx.ere3_EDI_RNS_ERR,d1dsnx.ere4_EDI_RNS_ERR,d1dsnx.ere5_EDI_RNS_ERR,d1dsnx.ere6_EDI_RNS_ERR,d1dsn.ere_EDI_RNS_ERR,NO
EQUIPMENT_NOTE,GROUP1,FDFR.CDC.DW,FDFR.CDC.DW.Q001.DW-ABI-BATCH-3530913,EQUIP,d1dsnb.en0_EQUIPMENT_NOTE,d1dsnb.en2_EQUIPMENT_NOTE,d1dsnx.en3_EQUIPMENT_NOTE,d1dsnx.en4_EQUIPMENT_NOTE,d1dsnx.en5_EQUIPMENT_NOTE,d1dsnx.en6_EQUIPMENT_NOTE,d1dsn.en_EQUIPMENT_NOTE,NO
